evaluation,C,epsilon,gamma,mae,std_mae,rmse,std_rmse,r2,std_r2
llm,1500.0,0.05,0.0005,1.1517397243532046,0.048029818147976626,1.5473860292685544,0.06611662001362449,0.9186028633647899,0.012414754380111297
llm,150.0,0.05,0.0025,1.1522696345594774,0.045015060857571294,1.538234145786422,0.057405290311225037,0.9195581440390695,0.01167065508803195
llm,20000.0,0.05,0.0001,1.1529203388048197,0.025491328167308588,1.6148547288338981,0.1640722823553564,0.9117833959662012,0.014392129273247262
llm,500.0,0.0,0.001,1.1488252645869061,0.06396713672204099,1.5323989596575323,0.09222215446690087,0.9198382610846508,0.015165558635730263
llm,5000.0,1.0,0.001,1.2369431340550292,0.09912117563587496,1.5760367722588047,0.13896895213383167,0.9150311277396792,0.018359958343661397
llm,1000.0,0.05,0.0005,1.135617377149898,0.04226984138714407,1.5382817605546149,0.0632338245289881,0.9196872303176802,0.011079929573552633
llm,3000.0,0.1,0.0003,1.1447554119556504,0.03757552840937806,1.5696776964652246,0.0836981038792336,0.9166093145735017,0.009725030404276393
llm,50000.0,0.05,5e-05,1.146392734859687,0.03538603554575172,1.6052291392074707,0.16217740426449073,0.9128666454776857,0.013851990740081973
llm,25.0,0.05,0.004,1.1589051116537747,0.02837410217491533,1.5609670180856132,0.05679268255142746,0.9173829896006627,0.010332251489942683
llm,300.0,0.2,0.0015,1.142203792944275,0.05560143136468357,1.5159911667820147,0.07614434931183307,0.9216862769975986,0.013244676783833587
llm,3000.0,0.05,0.0005,1.1701409351567935,0.062309716061287886,1.560441441043971,0.0727669300620619,0.9171224931984765,0.013436069641596458
llm,50.0,0.05,0.0005,1.2523497441623257,0.03361682579616285,1.6773771602585428,0.05304108657493648,0.9048247520743313,0.008828344401132402
llm,500.0,1.0,0.0025,1.2319184701393602,0.05584576034017361,1.576137310061084,0.0804218434144882,0.9156639017712822,0.011945937053855944
llm,1000.0,0.5,0.0005,1.1361127290136277,0.04070140942685534,1.5261436799187464,0.06551974518187811,0.9211116123222691,0.009397255133143028
llm,12.0,0.05,0.008,1.2164815551474415,0.0352308109788887,1.6548156089696726,0.07256710618406617,0.9071834557682907,0.011504176510869001
llm,3000.0,0.05,0.0005,1.1701409351567935,0.062309716061287886,1.560441441043971,0.0727669300620619,0.9171224931984765,0.013436069641596458
llm,50.0,0.05,0.0005,1.2523497441623257,0.03361682579616285,1.6773771602585428,0.05304108657493648,0.9048247520743313,0.008828344401132402
llm,500.0,1.0,0.0025,1.2319184701393602,0.05584576034017361,1.576137310061084,0.0804218434144882,0.9156639017712822,0.011945937053855944
llm,1000.0,0.5,0.0005,1.1361127290136277,0.04070140942685534,1.5261436799187464,0.06551974518187811,0.9211116123222691,0.009397255133143028
llm,12.0,0.05,0.008,1.2164815551474415,0.0352308109788887,1.6548156089696726,0.07256710618406617,0.9071834557682907,0.011504176510869001
cv,5,0.1,0.01,1.321330987059686,0.055419982200630886,1.8019945693908088,0.07930357792254873,0.8902173502771096,0.010275536317475426
cv,500,0.3,0.0007,1.121654825071341,0.052425061142104795,1.5056420983036645,0.0738368568589454,0.9229099720441573,0.01235771985030085
test,500,0.3,0.0007,0.9840268580610085,1.3203341762473235,0.916761309461163
cv,500,0.3,0.0007,1.121654825071341,0.052425061142104795,1.5056420983036645,0.0738368568589454,0.9229099720441573,0.01235771985030085
test,500,0.3,0.0007,0.9840268580610085,1.3203341762473235,0.916761309461163
random_search,91.11164572353077,0.417022004702574,0.0003487802515319414,1.2493419784567097,0.02518592727534734,1.6756571705996124,0.04944752405168659,0.9049874939044749,0.009143203057356834
random_search,111.87343350529036,0.43599490214200376,0.0004099511084931484,1.2185303859231031,0.021082245882321438,1.6347001383032869,0.04965127017657072,0.9095761278882353,0.00867102244450349
random_search,387.42070104049196,0.5507979025745755,0.0010898956521286926,1.1452840080790245,0.043845563346414894,1.5134513703217984,0.055075917504122995,0.9221460506235036,0.011157770763024993
random_search,34998.07897501003,0.9670298390136767,0.037758468239207525,1.9778647623061414,0.11784419796342396,2.644053485934155,0.11991847879454622,0.7638770610274946,0.018811068275884534
random_search,11.044326882678181,0.22199317108973948,6.624392869587325e-05,2.102778790307022,0.1575762754727282,2.7545202704458984,0.24337520723713216,0.7438874269428657,0.033067099992620745
random_search,15686.39221372457,0.8928601514360016,0.020075340412185245,1.5179802989395415,0.05763817612148597,2.002192332786521,0.060894240402854,0.864417954904147,0.011870569896857528
random_search,2.2833388331657147,0.07630828937395717,1.915411424627199e-05,3.680847555892761,0.11824261938778496,4.734895338703342,0.21552805387157692,0.2446039646555112,0.015875522944480244
random_search,12712.136998925595,0.8734294027918162,0.017013323572526367,1.4404147892684,0.05541989595763351,1.8898273802666572,0.05957446306742362,0.8791143209708789,0.011837148835735178
random_search,1.1187880989244698,0.010374153885699955,1.0923798587598058e-05,4.090122064818968,0.13157206319681994,5.244054600209634,0.208960972801719,0.07317928259777769,0.009821327959285558
random_search,4211.264956761636,0.771320643266746,0.007130039292226528,1.2392119597640572,0.0447428865688078,1.6095968317570482,0.05449144677934147,0.9122786328937844,0.008867117301593598
random_search,7.032048553760578,0.1802696888767692,4.643144203057548e-05,2.4867172905060397,0.1391436928341729,3.2391740619704783,0.2290339033450698,0.646176927461736,0.03264677397583501
random_search,5.301595294570531,0.15416284237967237,3.717437963373345e-05,2.766926911527159,0.12094503849875295,3.6059308781823445,0.22204525245660386,0.5617549313281467,0.030047408453283797
random_search,4512.324246146038,0.7777024105738202,0.007528316845253351,1.2421673495945131,0.04367790640311676,1.6151854227513769,0.0544766223978719,0.9116632496559168,0.008984669570986911
random_search,260.0185644946316,0.5139433437726902,0.0007962712079728972,1.1372311189879691,0.04032710713645754,1.5209311542096788,0.07113065569307567,0.9213592023467008,0.012190032180988158
random_search,9740.222967643118,0.8488176972685787,0.013795936964383233,1.3608866340255632,0.056282160933262555,1.781351465020716,0.06271801055432195,0.8925221437395281,0.011530348181487298
random_search,11.200517351450229,0.22329107915353885,6.69802869897199e-05,2.0937127207078126,0.15725908835763627,2.743059217886237,0.24363219362124477,0.7459941931200419,0.0331395286517539
random_search,24.244989979358625,0.2946650026871097,0.00012301469842575862,1.6730834982374496,0.08333234345262268,2.1823623323085193,0.14259765975075417,0.839329717104269,0.014395724154372883
random_search,1137.8605839983668,0.6503742417395917,0.00254515837423669,1.255616111552279,0.08355779294698933,1.6125684573481753,0.10347143392139899,0.9115698728267148,0.014402214085313775
random_search,2.872813738564827,0.09753360174945158,2.2949533781044616e-05,3.4611158339633583,0.11183450787527731,4.465829670578989,0.21776309225666726,0.32805713070537135,0.020125152941620615
random_search,580.2417748602988,0.5881308010772742,0.001497884034593475,1.193685682888943,0.08704048346114153,1.5526447286315215,0.09855104817519345,0.9177838447391707,0.014722432047139194
random_search,1.6941690883726097,0.04872488080912729,1.5143695641476896e-05,3.900644881570409,0.127682567188302,5.008221713622369,0.21041515865188903,0.15475809876428265,0.011487871156413415
random_search,9.54003157565405,0.20846053735884262,5.903224160133255e-05,2.204222547626122,0.15760824921450417,2.882936222746994,0.24270331339435597,0.7195179455297748,0.0338407578328448
random_search,269.62939640773584,0.5172978838465893,0.0008193498068251589,1.1339854948351176,0.042711977290317615,1.514429684314958,0.07260806715099631,0.9220195444618486,0.012251906976447628
random_search,32440.87144946017,0.9600173033359185,0.03556929101394576,1.9216697580597852,0.11047987706647654,2.568928622042868,0.11343703679946522,0.7770734954413934,0.017982842910990008
random_search,12265.555390512398,0.8701241366272119,0.016541050266852857,1.4282261204998044,0.0559422169657609,1.8729638339506782,0.060253895519331586,0.8812469707322371,0.011845949885433681
random_search,27.988337720328808,0.30793495262497084,0.0001377343148676959,1.608240404563216,0.07203853120038041,2.097430265616589,0.11488461839448708,0.851555553568504,0.0115655392881242
random_search,100.10416288717003,0.4257214105188958,0.000375604448922559,1.2363548709372822,0.0213762023721275,1.6575274793385115,0.04758509377064097,0.9070283762619162,0.008927041973186726
random_search,2664.4876264095333,0.7290137422891191,0.00497278823702722,1.2360370374024503,0.05847625884056194,1.593370039314987,0.05549742745854486,0.9140290031414885,0.00887112632937269
random_search,11449.387737139077,0.8637599855700829,0.01566831440231295,1.4054893264292556,0.05715657017264834,1.8422438554901863,0.06180355697079122,0.8850805566126183,0.011890433882226855
random_search,1063.6803944216035,0.644143536068335,0.0024136129003528425,1.255514672353454,0.08696833674464581,1.6132170248927076,0.10832129109113524,0.9114439011679247,0.01503020603445471
random_search,111.87343350529036,0.43599490214200376,0.0004099511084931484,1.2185303859231031,0.021082245882321438,1.6347001383032869,0.04965127017657072,0.9095761278882353,0.00867102244450349
random_search,387.42070104049196,0.5507979025745755,0.0010898956521286926,1.1452840080790245,0.043845563346414894,1.5134513703217984,0.055075917504122995,0.9221460506235036,0.011157770763024993
random_search,34998.07897501003,0.9670298390136767,0.037758468239207525,1.9778647623061414,0.11784419796342396,2.644053485934155,0.11991847879454622,0.7638770610274946,0.018811068275884534
random_search,11.044326882678181,0.22199317108973948,6.624392869587325e-05,2.102778790307022,0.1575762754727282,2.7545202704458984,0.24337520723713216,0.7438874269428657,0.033067099992620745
random_search,15686.39221372457,0.8928601514360016,0.020075340412185245,1.5179802989395415,0.05763817612148597,2.002192332786521,0.060894240402854,0.864417954904147,0.011870569896857528
random_search,2.2833388331657147,0.07630828937395717,1.915411424627199e-05,3.680847555892761,0.11824261938778496,4.734895338703342,0.21552805387157692,0.2446039646555112,0.015875522944480244
random_search,12712.136998925595,0.8734294027918162,0.017013323572526367,1.4404147892684,0.05541989595763351,1.8898273802666572,0.05957446306742362,0.8791143209708789,0.011837148835735178
random_search,1.1187880989244698,0.010374153885699955,1.0923798587598058e-05,4.090122064818968,0.13157206319681994,5.244054600209634,0.208960972801719,0.07317928259777769,0.009821327959285558
random_search,4211.264956761636,0.771320643266746,0.007130039292226528,1.2392119597640572,0.0447428865688078,1.6095968317570482,0.05449144677934147,0.9122786328937844,0.008867117301593598
random_search,7.032048553760578,0.1802696888767692,4.643144203057548e-05,2.4867172905060397,0.1391436928341729,3.2391740619704783,0.2290339033450698,0.646176927461736,0.03264677397583501
random_search,5.301595294570531,0.15416284237967237,3.717437963373345e-05,2.766926911527159,0.12094503849875295,3.6059308781823445,0.22204525245660386,0.5617549313281467,0.030047408453283797
random_search,4512.324246146038,0.7777024105738202,0.007528316845253351,1.2421673495945131,0.04367790640311676,1.6151854227513769,0.0544766223978719,0.9116632496559168,0.008984669570986911
random_search,260.0185644946316,0.5139433437726902,0.0007962712079728972,1.1372311189879691,0.04032710713645754,1.5209311542096788,0.07113065569307567,0.9213592023467008,0.012190032180988158
random_search,9740.222967643118,0.8488176972685787,0.013795936964383233,1.3608866340255632,0.056282160933262555,1.781351465020716,0.06271801055432195,0.8925221437395281,0.011530348181487298
random_search,11.200517351450229,0.22329107915353885,6.69802869897199e-05,2.0937127207078126,0.15725908835763627,2.743059217886237,0.24363219362124477,0.7459941931200419,0.0331395286517539
random_search,24.244989979358625,0.2946650026871097,0.00012301469842575862,1.6730834982374496,0.08333234345262268,2.1823623323085193,0.14259765975075417,0.839329717104269,0.014395724154372883
random_search,1137.8605839983668,0.6503742417395917,0.00254515837423669,1.255616111552279,0.08355779294698933,1.6125684573481753,0.10347143392139899,0.9115698728267148,0.014402214085313775
random_search,2.872813738564827,0.09753360174945158,2.2949533781044616e-05,3.4611158339633583,0.11183450787527731,4.465829670578989,0.21776309225666726,0.32805713070537135,0.020125152941620615
random_search,111.87343350529036,0.43599490214200376,0.0004099511084931484,1.2185303859231031,0.021082245882321438,1.6347001383032869,0.04965127017657072,0.9095761278882353,0.00867102244450349
random_search,387.42070104049196,0.5507979025745755,0.0010898956521286926,1.1452840080790245,0.043845563346414894,1.5134513703217984,0.055075917504122995,0.9221460506235036,0.011157770763024993
random_search,580.2417748602988,0.5881308010772742,0.001497884034593475,1.193685682888943,0.08704048346114153,1.5526447286315215,0.09855104817519345,0.9177838447391707,0.014722432047139194
random_search,34998.07897501003,0.9670298390136767,0.037758468239207525,1.9778647623061414,0.11784419796342396,2.644053485934155,0.11991847879454622,0.7638770610274946,0.018811068275884534
random_search,1.6941690883726097,0.04872488080912729,1.5143695641476896e-05,3.900644881570409,0.127682567188302,5.008221713622369,0.21041515865188903,0.15475809876428265,0.011487871156413415
random_search,11.044326882678181,0.22199317108973948,6.624392869587325e-05,2.102778790307022,0.1575762754727282,2.7545202704458984,0.24337520723713216,0.7438874269428657,0.033067099992620745
random_search,9.54003157565405,0.20846053735884262,5.903224160133255e-05,2.204222547626122,0.15760824921450417,2.882936222746994,0.24270331339435597,0.7195179455297748,0.0338407578328448
random_search,15686.39221372457,0.8928601514360016,0.020075340412185245,1.5179802989395415,0.05763817612148597,2.002192332786521,0.060894240402854,0.864417954904147,0.011870569896857528
random_search,2.2833388331657147,0.07630828937395717,1.915411424627199e-05,3.680847555892761,0.11824261938778496,4.734895338703342,0.21552805387157692,0.2446039646555112,0.015875522944480244
random_search,269.62939640773584,0.5172978838465893,0.0008193498068251589,1.1339854948351176,0.042711977290317615,1.514429684314958,0.07260806715099631,0.9220195444618486,0.012251906976447628
random_search,12712.136998925595,0.8734294027918162,0.017013323572526367,1.4404147892684,0.05541989595763351,1.8898273802666572,0.05957446306742362,0.8791143209708789,0.011837148835735178
random_search,32440.87144946017,0.9600173033359185,0.03556929101394576,1.9216697580597852,0.11047987706647654,2.568928622042868,0.11343703679946522,0.7770734954413934,0.017982842910990008
random_search,1.1187880989244698,0.010374153885699955,1.0923798587598058e-05,4.090122064818968,0.13157206319681994,5.244054600209634,0.208960972801719,0.07317928259777769,0.009821327959285558
random_search,12265.555390512398,0.8701241366272119,0.016541050266852857,1.4282261204998044,0.0559422169657609,1.8729638339506782,0.060253895519331586,0.8812469707322371,0.011845949885433681
random_search,4211.264956761636,0.771320643266746,0.007130039292226528,1.2392119597640572,0.0447428865688078,1.6095968317570482,0.05449144677934147,0.9122786328937844,0.008867117301593598
random_search,27.988337720328808,0.30793495262497084,0.0001377343148676959,1.608240404563216,0.07203853120038041,2.097430265616589,0.11488461839448708,0.851555553568504,0.0115655392881242
random_search,7.032048553760578,0.1802696888767692,4.643144203057548e-05,2.4867172905060397,0.1391436928341729,3.2391740619704783,0.2290339033450698,0.646176927461736,0.03264677397583501
random_search,100.10416288717003,0.4257214105188958,0.000375604448922559,1.2363548709372822,0.0213762023721275,1.6575274793385115,0.04758509377064097,0.9070283762619162,0.008927041973186726
random_search,5.301595294570531,0.15416284237967237,3.717437963373345e-05,2.766926911527159,0.12094503849875295,3.6059308781823445,0.22204525245660386,0.5617549313281467,0.030047408453283797
random_search,2664.4876264095333,0.7290137422891191,0.00497278823702722,1.2360370374024503,0.05847625884056194,1.593370039314987,0.05549742745854486,0.9140290031414885,0.00887112632937269
random_search,4512.324246146038,0.7777024105738202,0.007528316845253351,1.2421673495945131,0.04367790640311676,1.6151854227513769,0.0544766223978719,0.9116632496559168,0.008984669570986911
random_search,11449.387737139077,0.8637599855700829,0.01566831440231295,1.4054893264292556,0.05715657017264834,1.8422438554901863,0.06180355697079122,0.8850805566126183,0.011890433882226855
random_search,260.0185644946316,0.5139433437726902,0.0007962712079728972,1.1372311189879691,0.04032710713645754,1.5209311542096788,0.07113065569307567,0.9213592023467008,0.012190032180988158
random_search,9740.222967643118,0.8488176972685787,0.013795936964383233,1.3608866340255632,0.056282160933262555,1.781351465020716,0.06271801055432195,0.8925221437395281,0.011530348181487298
random_search,11.200517351450229,0.22329107915353885,6.69802869897199e-05,2.0937127207078126,0.15725908835763627,2.743059217886237,0.24363219362124477,0.7459941931200419,0.0331395286517539
random_search,1063.6803944216035,0.644143536068335,0.0024136129003528425,1.255514672353454,0.08696833674464581,1.6132170248927076,0.10832129109113524,0.9114439011679247,0.01503020603445471
random_search,24.244989979358625,0.2946650026871097,0.00012301469842575862,1.6730834982374496,0.08333234345262268,2.1823623323085193,0.14259765975075417,0.839329717104269,0.014395724154372883
random_search,22.0880983613336,0.28605382166051563,0.00011431533830812897,1.712451442024733,0.09476549680729267,2.233690271686112,0.16008338063570451,0.8316536030120256,0.01703754799314876
random_search,1137.8605839983668,0.6503742417395917,0.00254515837423669,1.255616111552279,0.08355779294698933,1.6125684573481753,0.10347143392139899,0.9115698728267148,0.014402214085313775
random_search,2.872813738564827,0.09753360174945158,2.2949533781044616e-05,3.4611158339633583,0.11183450787527731,4.465829670578989,0.21776309225666726,0.32805713070537135,0.020125152941620615
random_search,580.2417748602988,0.5881308010772742,0.001497884034593475,1.193685682888943,0.08704048346114153,1.5526447286315215,0.09855104817519345,0.9177838447391707,0.014722432047139194
random_search,1.6941690883726097,0.04872488080912729,1.5143695641476896e-05,3.900644881570409,0.127682567188302,5.008221713622369,0.21041515865188903,0.15475809876428265,0.011487871156413415
random_search,9.54003157565405,0.20846053735884262,5.903224160133255e-05,2.204222547626122,0.15760824921450417,2.882936222746994,0.24270331339435597,0.7195179455297748,0.0338407578328448
random_search,269.62939640773584,0.5172978838465893,0.0008193498068251589,1.1339854948351176,0.042711977290317615,1.514429684314958,0.07260806715099631,0.9220195444618486,0.012251906976447628
random_search,32440.87144946017,0.9600173033359185,0.03556929101394576,1.9216697580597852,0.11047987706647654,2.568928622042868,0.11343703679946522,0.7770734954413934,0.017982842910990008
random_search,12265.555390512398,0.8701241366272119,0.016541050266852857,1.4282261204998044,0.0559422169657609,1.8729638339506782,0.060253895519331586,0.8812469707322371,0.011845949885433681
random_search,27.988337720328808,0.30793495262497084,0.0001377343148676959,1.608240404563216,0.07203853120038041,2.097430265616589,0.11488461839448708,0.851555553568504,0.0115655392881242
random_search,100.10416288717003,0.4257214105188958,0.000375604448922559,1.2363548709372822,0.0213762023721275,1.6575274793385115,0.04758509377064097,0.9070283762619162,0.008927041973186726
random_search,2664.4876264095333,0.7290137422891191,0.00497278823702722,1.2360370374024503,0.05847625884056194,1.593370039314987,0.05549742745854486,0.9140290031414885,0.00887112632937269
random_search,11449.387737139077,0.8637599855700829,0.01566831440231295,1.4054893264292556,0.05715657017264834,1.8422438554901863,0.06180355697079122,0.8850805566126183,0.011890433882226855
random_search,1063.6803944216035,0.644143536068335,0.0024136129003528425,1.255514672353454,0.08696833674464581,1.6132170248927076,0.10832129109113524,0.9114439011679247,0.01503020603445471
random_search,22.0880983613336,0.28605382166051563,0.00011431533830812897,1.712451442024733,0.09476549680729267,2.233690271686112,0.16008338063570451,0.8316536030120256,0.01703754799314876
random_search_seed1,254.1174344238081,0.14415961271963373,0.03278964410553163,1.7004904523548263,0.07366851270890061,2.316150179239479,0.06761849622272698,0.8187712160391902,0.01247468853675578
random_search_seed1,28686.350252438482,0.42332644897257565,0.0001423820322400467,1.197885030144255,0.03329045303785887,1.6773237335331523,0.2671524061388625,0.9042464335572138,0.02635758228487329
random_search_seed1,7750.855865968446,0.5495936876730595,0.00032629869076029,1.1961610207615598,0.04192839323937027,1.630054970039301,0.15354337308680957,0.9100390586012083,0.01413676543809826
random_search_seed1,1.347409008019633,0.5381433132192782,0.0061266403502417835,1.6181206343176746,0.0708129779525906,2.157951228588847,0.11856284050112899,0.8430616565773745,0.008167499138317935
random_search_seed1,35.432308232717006,0.303194829291645,0.008248483776334985,1.220145264454981,0.051064754146202894,1.618884684680084,0.05156054369016671,0.9110076333661311,0.011514562111588243
random_search_seed1,135.198844453213,0.40311298644712923,3.1319600767471384e-05,1.6121585159837502,0.06936787125910043,2.0983295052461455,0.10919018516040832,0.8514260322021341,0.011032826473661527
